en,om
"Using Google Maps, an archaeologist finds nearly 2,000 potential archaeological sites in Saudi Arabia.","Guugil Maap fayyadamuun, arkiyoolojistiin tokko Sa'ud Arabiyaa keessatti bakkeewwan arkiyoolojii tahuu danda'an 2,000 tti dhiyaatan argate."
"Among the inhabitants residing around the dam, Abdi Haji told ENA that “the power project plays immense role in their lives in terms of road connectivity, irrigation, energy as well as job opportunity.”","Jiraattooa naannoo hidhicha jiraatan keessaa, Abdii Hajii "" piroojektiin humna ifaa gama qunnamtii daandii, jallisii, anniisaa akkasumas carraa hojiitiin shora olaanaa taphata"" jechuun ENA'tti himeera."
"The Kremlin announces that Russia will hold the 2014 G8 summit in its southern Black Sea resort of Sochi, the host of the 2014 Winter Olympics.",Kiremiliin Qopheessituun Oloompikii gannaa bara 2014ii kan taate 'Saawuzern Bilaak Sii' resoortii 'Soochii' keessatti Raashiyaan Yaa'ii G8 kan bara 2014ii akka geggeessitu beeksiste.
"Winds gusting up to 100 miles per hour have been recorded over much of the United Kingdom and Ireland, causing widespread damage and disruption.",Yunaytid Kiingidamii fi Aayerlaand keessatti bubbee furgugifamaa sa'a tokko kessatti maayila 100 fiigu galmaa'een diigamsa fi badii guddaan qaqqabeera.
He assured farmers that the mature locusts do not inflict damage on the crops right now.,Hawaannisi gaheeyyiin sun midhaan irratti miidhaan akka hin qaqqabsiisne qote bultootaaf mirkaneesse.
"Ras Theater Director, Meron Teshale told ENA that art has a power to strengthen unity in diversity and show diversity as a source of peace and harmony.","Daarikterri Tiyaatira Raas, Meeron Teshaalee aartiin tokkummaa garagarummaa keessatti jabeessuuf fi adda addummaa akka madda nagaa fi jaalalaan waliin jiraachuutti agarsiisuuf humna qaba jette."
The Ethiopian national anti-doping office said it has begun doping tests on athletes.,Waajjira farra qoricha nama jajjabeessuu Itoophiyaa qorannoo qoricha nama jabeessuu atileetota irratti akka eegale hime.
"Briefing journalists, Public Health Institute Director-General Dr. Eba Abate said similar taskforces formed in regions are making preparations to prevent the virus.","Gaazexessitootaaaf ibsa kennaniin, Daayirekterri-Olaanaan Inistitiyuutii Fayyaa Hawaasaa Dr. Eba Abaatee koreen duulaa walfakkaatoon naannoleetti uumaman qophii vaaayiresicha ittisuuf gochaa jiru jedhan."
U.S. President Donald Trump announces new sanctions on North Korea over its nuclear weapons program.,Pirasdaantiin U.S. Doonaald Tiraamp Kooriyaa Kaabaa irratti dhimma sagantaa meeshaa waraanaa niwukilaaraa ishii irratti qoqqobbiiwwan haaraa akka kaa'u beeksise.
Cardell Hayes is found guilty of manslaughter by a Louisiana jury in the road rage shooting death of former New Orleans Saints star Will Smith.,Urjiin New Orliins Seentis duraanii Wiil Ismiiziin daandii irrattii aariin guutamuun dhukaasee ajjeessuu isaataa abbaan murtii Luuziyaanaa himatamaa Kaardel Haayes balleessummaa isaa mirkaneesse.
The study also highlights the negative impacts of other government offices also having prosecutorial authority.,Qorannichi dhiibbaa gaarii hin taane kan biiroowwan mootummaas aangoo abbaa alangummaa qabanis ibseera.
"A beaver is seen in Northern Italy on camera, a species that has not been seen in the country since 1471.","Biiveriin, Kaaba Xaaliyaanii keessatti kaameraa irratti argame, sanyiiwwan erga bara 1471 biyyattii keessatti argamanii hin beekne."
"North Korea’s foreign ministry, in an official statement, says the latest United Nations sanctions are an act of war and are, in effect, a complete economic blockade.","Ministeerri dhimma alaa Kooriyaa Kaabaa, ibsa isaa keessatti, qoqqobbiiwwan Mootummoota Gamtoomanii inni boodanaa, gochaadhaan, daangesuun guutummaa diinagdee, gochaa waraanaa ti waraanas jedhe."
A triple suicide bomb attack north of Tikrit kills at least 11 and injures another 34 members of Iraqi security forces.,Naanoo kaaba Tikriikitti Gocha badee balleessaa boombii sadeen raawwaatameen yoo xiqqaate namoonni 11 yoo du'an miseensonni humna nageenya Iraaq 34 ammoo miidhamaniiru.
This encouraging conclusion was received nearly two years after the outbreak was confirmed in the Horn of Africa and outbreak activities initiated to respond to and interrupt Polio transmission.,Guduunfaan nama jajjabeessu kun muldhifame weerarichi Gaanfa Afrikaa keessatti argamuun mirkanaa'ee hojiileen weeraricha ittisuu jalqabsiifamee tatamsa'ina pooliyoo erga adda kutee waggoota lama booda tahe.
"Scientists discover a large colony of more than 750,000 pairs of Adélie penguins on the Danger Islands in Antarctica.","Saayintistoonni gurmuu guddaa pengiyuunii Addellee cimdii 750,000 caalan Odolaa Daanjerii Antarkaatikaa keessaa irratti argatan."
Albania's prime minister is embroiled in scandal after his brother is linked to the stunt.,Muummichi ministeera Albeeniyaa obbeleessi isaanii mala kutuu waliin hidhata qabachusaatiin qaanii guddaa kessaa seenan.
"In 2011, all the regions in the country except the Somali Region were validated for MNTE. The 2011 validation mission made recommendations that would see the Somali Region progress to MNTE over time.","Bara 2011 keessa, Naannoo Somaalee irraa kan hafe naannoleen biyyattii keessa jiran hundi MNTE'f mirkaneeffaman. Ergamni mirkaneessa bara 2011 gorsawwan Naannoon Somaalee yeroo keessa gara MNTE'tti akka guddatu gargaaru kenne."
Thailand expresses its interest in hosting the planned summit meeting between U.S. President Donald Trump and North Korean leader Kim Jong-un.,Taayilaand marii Pirasdaantii U.S. Doonaald Tiraampii fi Hogganaa Kooriyaa Kaabaa Kiim Joong-Un gidduutti karoorfame qopheessuf fedhii akka qabdu ibsite.
"The institute would in particular help to reduce the widespread deforestation and enhance the utilization of forests, the minister added.","Inistiitiyuutichi keessattuu manca'ins bosonaa babal'ataa jiru hir'isuu fi itti fayyadama bosonaa dabaluu irratti ni fayyada, jedhe minsteerich itti dabaluun."
